PLAYER_ID,HEIGHT,WEIGHT,POSITION
76001,82,240,Forward
76002,81,235,Center
76003,86,225,Center
51,73,162,Guard
1505,78,235,Forward-Guard
949,81,245,Forward
76005,79,220,Forward
76006,75,180,Guard
76007,75,195,Forward
101165,77,185,Guard
76008,72,183,Guard
76009,83,220,Center
76010,78,210,Forward
76011,81,210,Center
76012,79,210,Forward
1629121,74,190,Guard
203919,77,209,Guard
149,70,165,Guard
203500,84,265,Center
912,80,241,Forward
1628389,82,255,Center-Forward
1629061,79,200,Forward
76015,74,175,Guard
201167,77,210,Guard
76016,78,232,Forward
201336,74,190,Guard
76017,77,175,Guard
201582,86,248,Center
76018,82,225,Center
203006,71,185,Guard
202374,85,252,Center
76019,80,217,Forward
76020,81,225,Center
203128,82,240,Forward-Center
202332,83,253,Center
200746,83,260,Center-Forward
76021,83,260,Center
1626146,80,240,Forward
724,73,190,Guard
2042,77,205,Guard
76022,79,240,Forward
201570,80,230,Forward
2349,82,265,Forward
76024,74,183,Guard
1628959,77,225,Guard
76028,81,205,Forward
1628960,77,198,Guard
1628386,83,237,Center
706,76,184,Guard
1628443,75,200,Guard
202730,81,260,Forward-Center
76027,74,175,Guard
2124,82,255,Forward
76025,80,220,Forward
951,77,205,Guard
76029,78,195,Forward
200984,83,250,Center
76030,80,220,Forward
201165,78,225,Guard
1747,74,175,Guard
680,82,270,Forward-Center
202329,81,220,Forward
200811,81,220,Forward
76034,75,200,Forward
101187,78,220,Forward-Guard
76035,74,200,Guard
76036,74,185,Guard
1507,77,195,Guard
76037,75,185,Guard
944,81,220,Forward
246,82,250,Center-Forward
202341,78,213,Guard-Forward
76040,77,195,Guard
1626147,78,230,Guard-Forward
76041,79,200,Forward
203937,81,230,Forward
76042,71,184,Guard
76043,80,195,Forward
98,78,228,Forward-Guard
76045,82,240,Forward
76046,79,215,Forward
201583,82,240,Forward
1000,78,215,Guard-Forward
335,80,200,Guard-Forward
76048,79,220,Center
101149,86,240,Center
76049,79,190,Forward
76050,79,225,Forward
1512,84,249,Center
203507,83,242,Forward
1628961,82,200,Forward
21,73,180,Guard
201202,81,245,Center
203544,83,260,Forward-Center
1628384,80,232,Forward
2737,83,270,Center
76053,76,210,Forward
76054,73,150,Guard
2425,83,250,Forward
1627853,75,200,Guard
76055,81,215,Center
2240,76,215,Guard
2772,80,215,Forward
76056,76,190,Forward
76057,81,230,Forward
769,74,185,Guard
76061,80,220,Center
2220,77,185,Guard
